#churner,k,avg(gap10 )
0,1,NULL
0,2,NULL
0,3,NULL
0,4,NULL
0,5,NULL
0,6,NULL
0,7,NULL
0,8,NULL
0,9,NULL
0,10,24464.2391
0,11,21966.3777
0,12,20421.3164
0,13,18900.8824
0,14,17795.1930
0,15,16858.4650
0,16,16026.2282
0,17,15385.7914
0,18,14815.8303
0,19,14425.0422
0,20,14005.9411
1,1,NULL
1,2,NULL
1,3,NULL
1,4,NULL
1,5,NULL
1,6,NULL
1,7,NULL
1,8,NULL
1,9,NULL
1,10,95713.9206
1,11,64624.1740
1,12,51528.2327
1,13,42472.9049
1,14,34585.8886
1,15,32438.6406
1,16,33049.2023
1,17,24026.9929
1,18,23266.3435
1,19,21161.8598
1,20,20640.3474
