#churner,k,avg(gap8 )
0,1,NULL
0,2,NULL
0,3,NULL
0,4,NULL
0,5,NULL
0,6,NULL
0,7,NULL
0,8,26927.3360
0,9,24435.0928
0,10,22463.3665
0,11,20999.3047
0,12,19787.4375
0,13,18665.8339
0,14,17615.6886
0,15,16895.0325
0,16,16239.1095
0,17,15647.8965
0,18,15208.2484
0,19,14734.7824
0,20,14299.2780
1,1,NULL
1,2,NULL
1,3,NULL
1,4,NULL
1,5,NULL
1,6,NULL
1,7,NULL
1,8,90594.1217
1,9,66387.2766
1,10,52583.8735
1,11,41394.7961
1,12,36233.3658
1,13,32260.0707
1,14,32711.8817
1,15,27769.9181
1,16,24000.3962
1,17,20420.9894
1,18,21255.9962
1,19,17944.3154
1,20,16710.1650
