#churner,k,avg(gap12 )
0,1,NULL
0,2,NULL
0,3,NULL
0,4,NULL
0,5,NULL
0,6,NULL
0,7,NULL
0,8,NULL
0,9,NULL
0,10,NULL
0,11,NULL
0,12,22378.8500
0,13,20260.5921
0,14,18685.3175
0,15,17463.4448
0,16,16365.8162
0,17,15597.7468
0,18,14923.7402
0,19,14265.7802
0,20,13745.9522
1,1,NULL
1,2,NULL
1,3,NULL
1,4,NULL
1,5,NULL
1,6,NULL
1,7,NULL
1,8,NULL
1,9,NULL
1,10,NULL
1,11,NULL
1,12,99921.8971
1,13,67233.8826
1,14,53117.8798
1,15,43852.3530
1,16,39141.6808
1,17,29650.9060
1,18,28346.6803
1,19,26282.2760
1,20,24092.3623
