#churner,k,avg(gap2 )
0,1,NULL
0,2,59713.8028
0,3,54963.6310
0,4,51504.4099
0,5,48994.3167
0,6,46836.5803
0,7,45201.8773
0,8,44001.2405
0,9,42851.2039
0,10,41961.1294
0,11,40976.6496
0,12,40028.8744
0,13,39481.3753
0,14,38986.8871
0,15,38164.7840
0,16,37544.6725
0,17,37142.4208
0,18,36717.9645
0,19,36409.1435
0,20,35992.7620
1,1,NULL
1,2,76978.5765
1,3,68913.7829
1,4,60275.0256
1,5,54341.2744
1,6,49586.0957
1,7,47516.0541
1,8,41403.1763
1,9,39187.6293
1,10,37658.4990
1,11,37761.3461
1,12,36665.0133
1,13,32517.7014
1,14,29722.0736
1,15,36167.3374
1,16,32727.7769
1,17,28445.5904
1,18,27322.5901
1,19,23678.9880
1,20,28643.5645
