churner,k,avg(qrep4)
0,1,9492.224764655244
0,2,9271.57539239753
0,3,9009.812234069057
0,4,8871.46487383873
0,5,8802.027934812324
0,6,8679.183668632524
0,7,8591.484089147594
0,8,8536.344820984643
0,9,8453.6627610874
0,10,8422.46252929592
0,11,8387.968191337775
0,12,8349.93947047809
0,13,8344.138492329688
0,14,8315.12064802225
0,15,8294.278990829422
0,16,8249.332264116196
0,17,8243.421885546892
0,18,8199.258941324031
0,19,8189.022219894928
0,20,8187.38160071752
1,1,8954.892093411674
1,2,9199.62740207703
1,3,9088.118685800477
1,4,8984.95203150772
1,5,9259.631940589785
1,6,9081.456563488166
1,7,9495.696659605144
1,8,9070.438999689786
1,9,9158.957905228897
1,10,8418.239390662846
1,11,8845.14360453358
1,12,8588.840226989554
1,13,9159.217402880322
1,14,9256.91266910027
1,15,9164.460566024574
1,16,9237.628759579695
1,17,8836.673417317708
1,18,9463.018440612339
1,19,9095.731089367415
1,20,8744.949547231929
