#churner,k,avg(gap5 )
0,1,NULL
0,2,NULL
0,3,NULL
0,4,NULL
0,5,34353.8514
0,6,30828.3941
0,7,28310.4864
0,8,26313.5987
0,9,24600.8973
0,10,23383.4410
0,11,22435.9404
0,12,21508.8213
0,13,20682.3109
0,14,20159.7628
0,15,19560.8481
0,16,19010.3335
0,17,18550.3567
0,18,18019.2749
0,19,17620.2189
0,20,17254.8062
1,1,NULL
1,2,NULL
1,3,NULL
1,4,NULL
1,5,92000.1195
1,6,65797.5367
1,7,53030.5181
1,8,43135.3870
1,9,39278.0082
1,10,32745.8077
1,11,32911.4130
1,12,28249.9881
1,13,27913.2125
1,14,24676.0566
1,15,22910.6078
1,16,25541.2331
1,17,19748.8821
1,18,18927.6252
1,19,18720.5465
1,20,18519.4256
