#churner,k,avg(gap13 )
0,1,NULL
0,2,NULL
0,3,NULL
0,4,NULL
0,5,NULL
0,6,NULL
0,7,NULL
0,8,NULL
0,9,NULL
0,10,NULL
0,11,NULL
0,12,NULL
0,13,21558.5850
0,14,19523.8792
0,15,18054.1375
0,16,16927.8100
0,17,16137.7722
0,18,15415.5532
0,19,14720.8374
0,20,14098.6156
1,1,NULL
1,2,NULL
1,3,NULL
1,4,NULL
1,5,NULL
1,6,NULL
1,7,NULL
1,8,NULL
1,9,NULL
1,10,NULL
1,11,NULL
1,12,NULL
1,13,96854.8836
1,14,68638.4991
1,15,52134.4577
1,16,41345.8231
1,17,31367.5940
1,18,33457.0076
1,19,24373.0350
1,20,25065.4367
