#churner,k,avg(gap4 )
0,1,NULL
0,2,NULL
0,3,NULL
0,4,38131.6369
0,5,34221.0043
0,6,31395.9071
0,7,29342.2471
0,8,27588.6929
0,9,26366.7771
0,10,25225.0285
0,11,24339.8847
0,12,23404.1592
0,13,22726.9679
0,14,22191.3301
0,15,21646.5383
0,16,21204.5088
0,17,20742.1663
0,18,20331.9738
0,19,19881.0549
0,20,19527.6135
1,1,NULL
1,2,NULL
1,3,NULL
1,4,89320.2633
1,5,64728.5465
1,6,52163.7346
1,7,45705.0647
1,8,40840.9248
1,9,35697.8896
1,10,35468.1223
1,11,29653.7167
1,12,27479.8477
1,13,24423.3921
1,14,24438.2379
1,15,26178.7950
1,16,23340.5662
1,17,17742.9087
1,18,18755.8605
1,19,21288.4042
1,20,24416.6563
