churner,k,avg(qrep1)
0,1,22.73684800897364
0,2,22.969295928762783
0,3,23.78503760247273
0,4,24.413302861873472
0,5,24.7215901525584
0,6,24.89282158377428
0,7,24.92936955760242
0,8,24.86442252430727
0,9,24.85736424131093
0,10,24.81543233172969
0,11,24.762762183397616
0,12,24.702823979026643
0,13,24.608507941162184
0,14,24.539979517421312
0,15,24.535992100125362
0,16,24.51292786387551
0,17,24.456281374545636
0,18,24.37088620310149
0,19,24.301157503243296
0,20,24.283063682547514
1,1,21.07626591465185
1,2,16.93997756170531
1,3,21.376339728205437
1,4,24.08941753966932
1,5,25.24785020241708
1,6,26.533417715650224
1,7,27.08720432198281
1,8,27.217978731700992
1,9,26.64480963530697
1,10,26.844935754105286
1,11,27.509668037400324
1,12,26.16895650712483
1,13,26.19028345411451
1,14,26.64331688821913
1,15,25.494215055059215
1,16,25.111947245087315
1,17,26.1435756070219
1,18,25.9614973792008
1,19,24.781602621410244
1,20,25.344435953186128
