#churner,k,avg(gap3 )
0,1,NULL
0,2,NULL
0,3,45778.5919
0,4,41360.8400
0,5,38068.7111
0,6,35584.9723
0,7,33823.4123
0,8,32422.7158
0,9,31209.1867
0,10,30281.7037
0,11,29338.4696
0,12,28490.3729
0,13,27819.8919
0,14,27119.4319
0,15,26513.2811
0,16,25973.1224
0,17,25606.9391
0,18,25101.6159
0,19,24571.5000
0,20,24392.5129
1,1,NULL
1,2,NULL
1,3,86941.1146
1,4,66209.8912
1,5,57581.6548
1,6,47442.2409
1,7,40688.6947
1,8,36129.3835
1,9,37580.6530
1,10,33543.4161
1,11,31787.9867
1,12,29393.4952
1,13,28987.4920
1,14,24437.4840
1,15,27569.2626
1,16,22784.6292
1,17,22710.9725
1,18,22043.4763
1,19,23995.0285
1,20,20152.9665
