#churner,k,avg(gap11 )
0,1,NULL
0,2,NULL
0,3,NULL
0,4,NULL
0,5,NULL
0,6,NULL
0,7,NULL
0,8,NULL
0,9,NULL
0,10,NULL
0,11,23513.5879
0,12,21166.6418
0,13,19570.4958
0,14,18225.2823
0,15,17200.3181
0,16,16355.7013
0,17,15733.7961
0,18,15101.2052
0,19,14504.4365
0,20,13972.3709
1,1,NULL
1,2,NULL
1,3,NULL
1,4,NULL
1,5,NULL
1,6,NULL
1,7,NULL
1,8,NULL
1,9,NULL
1,10,NULL
1,11,97637.2276
1,12,68437.7211
1,13,49374.9410
1,14,40006.2140
1,15,34466.3495
1,16,35858.8500
1,17,26804.1374
1,18,28665.4051
1,19,24899.5071
1,20,21658.2010
