#churner,k,avg(gap9 )
0,1,NULL
0,2,NULL
0,3,NULL
0,4,NULL
0,5,NULL
0,6,NULL
0,7,NULL
0,8,NULL
0,9,25775.8350
0,10,23237.8351
0,11,21441.6597
0,12,19985.0267
0,13,18848.2028
0,14,17882.6691
0,15,17112.3172
0,16,16259.5597
0,17,15728.2106
0,18,15263.0935
0,19,14794.5707
0,20,14328.7679
1,1,NULL
1,2,NULL
1,3,NULL
1,4,NULL
1,5,NULL
1,6,NULL
1,7,NULL
1,8,NULL
1,9,98558.9054
1,10,69845.7131
1,11,49047.3236
1,12,42293.2725
1,13,35966.4724
1,14,30811.4877
1,15,29090.9673
1,16,31690.3392
1,17,17554.2154
1,18,22835.4753
1,19,18430.4403
1,20,19567.9739
