churner,k,avg(qrep2)
0,1,214.30036832412523
0,2,210.0191834326749
0,3,208.78066593463788
0,4,209.04293442048439
0,5,209.369524332303
0,6,209.377940512505
0,7,210.1096337014603
0,8,210.54948339766275
0,9,211.12022813215586
0,10,211.87221030751408
0,11,212.75866832799719
0,12,213.38948892173408
0,13,214.10939911191625
0,14,214.61929644171357
0,15,215.45631808584548
0,16,216.09259815334553
0,17,216.79603777111996
0,18,217.5203891784281
0,19,217.8642436208575
0,20,218.4575022458771
1,1,215.5773829715061
1,2,209.9676446534451
1,3,206.68292194898325
1,4,203.01064424798906
1,5,200.50747195930873
1,6,206.71943129559077
1,7,201.62786002143312
1,8,204.04188835834267
1,9,205.60787783454685
1,10,202.56653849582958
1,11,203.4592165659122
1,12,209.60770000786783
1,13,209.33639709119922
1,14,211.41425325849414
1,15,213.75153473980265
1,16,216.5358028067223
1,17,216.84708382781602
1,18,217.81109299913177
1,19,223.5631185449369
1,20,220.24155743113238
