#churner,k,avg(gap6 )
0,1,NULL
0,2,NULL
0,3,NULL
0,4,NULL
0,5,NULL
0,6,31171.7464
0,7,27983.8279
0,8,25651.4134
0,9,24001.0263
0,10,22474.7380
0,11,21364.8617
0,12,20382.2698
0,13,19573.3036
0,14,18779.5065
0,15,18181.6136
0,16,17589.6224
0,17,17083.1855
0,18,16598.9834
0,19,16236.1300
0,20,15875.2787
1,1,NULL
1,2,NULL
1,3,NULL
1,4,NULL
1,5,NULL
1,6,91370.0707
1,7,63985.5683
1,8,48478.0280
1,9,41276.7155
1,10,36241.8302
1,11,31826.8570
1,12,29814.7069
1,13,26017.9532
1,14,26652.0478
1,15,22491.5886
1,16,24087.9185
1,17,21696.7793
1,18,18262.1679
1,19,16525.4962
1,20,16243.8176
