gap16=0.51782702859
gap15=0.259255376053
gap14=0.07002711111
q_post_length=0.0316371825927
num_answers_recvd=0.0174675587571
gap12=0.0170317994125
gap11=0.0152068520062
mean_accepted_answerer_rep=0.0133144202336
gap8=0.0115274107903
num_questions=0.00965535464331
mean_rep_questioner=0.00930677679278
gap6=0.00767227949194
mean_rep_answerers=0.00741310767089
gap3=0.0059540527487
gap2=0.00440013703747
gap5=0.00230355206952
relative_rank_pos=0.0
mean_rep_co_answerers=0.0
answering_speed=0.0
ans_score_stddev=0.0
que_score_stddev=0.0
ans_que_ratio=0.0
que_score=0.0
ans_score=0.0
gap13=0.0
num_answers=0.0
time_for_first_ans=0.0
gap10=0.0
a_post_length=0.0
gap7=0.0
que_comments=0.0
num_q_answered=0.0
mean_max_rep_answerer=0.0
gap9=0.0
qrep1=0.0
qrep2=0.0
qrep3=0.0
qrep4=0.0
gap1=0.0
gap4=0.0
ans_comments=0.0
