time_since_last_gap=0.853895582968
mean_accepted_answerer_rep=0.0314922763112
num_posts=0.0279349948318
a_q_ratio=0.0197032665384
q_score=0.0125069007727
mean_rep_questioner=0.0113621345517
num_answers_recvd=0.00780116963783
a_score=0.00732359663342
first_post_gap=0.0058045948943
mean_gap=0.00487489034078
num_q_answered=0.0037934904933
num_answers=0.00204407706551
q_comments=0.00161668608576
answering_speed=0.00161411792371
a_comments=0.00143627374511
q_post_length=0.00135590277566
mean_rep_answerers=0.0011745362985
a_score_stddev=0.00114139259466
mean_max_rep_answerer=0.000885176813814
mean_rep_co_answerers=0.000796498942239
a_post_length=0.000395221178512
time_for_first_ans=0.000334782401263
q_score_stddev=0.000307321071941
relative_rank_pos=0.000249214891756
num_questions=0.000155900238019
last_post_gap=0.0
