time_since_last_gap=0.797040729184
accepted_answerer_rep=0.0451056900454
num_posts=0.03878746406
num_answers_recvd=0.0373291880425
ans_score=0.0178306083393
ans_que_ratio=0.0173018912539
que_score=0.01115902664
rep_questioner=0.00755396436622
first_post_gap=0.00401117786708
ans_comments=0.00363708200902
que_comments=0.00354798340748
rep_answerers=0.00338878245213
num_answers=0.00299487719285
gap=0.00237710886241
answering_speed=0.00210127885813
num_q_answered=0.00196386255988
q_post_length=0.00135245392886
rep_co_answerers=0.000690292343823
max_rep_answerer=0.000627043165486
ans_score_stddev=0.000483678329756
time_for_first_ans=0.000450562484853
relative_rank_pos=0.000265254607307
que_score_stddev=0.0
last_post_gap=0.0
a_post_length=0.0
num_questions=0.0
