gap4=0.337142968129
gap1=0.152711631055
mean_accepted_answerer_rep=0.117246355843
gap3=0.0936344758009
mean_rep_questioner=0.0648270358607
num_answers_recvd=0.0547318402778
qrep1=0.0251160405077
answering_speed=0.0237292833072
gap2=0.019976970945
mean_max_rep_answerer=0.0182301352659
que_score=0.0152688262991
q_post_length=0.013814840082
mean_rep_answerers=0.0119562971177
time_for_first_ans=0.00837897659174
ans_score=0.00758183488766
num_q_answered=0.00629403875993
a_post_length=0.00595645341202
qrep2=0.00471966681074
que_comments=0.00349978732565
qrep4=0.00327846654718
qrep3=0.00316287397618
que_score_stddev=0.00249890295698
ans_comments=0.00224425421559
ans_score_stddev=0.00200191636246
relative_rank_pos=0.00199612766265
ans_que_ratio=0.0
mean_rep_co_answerers=0.0
num_answers=0.0
num_questions=0.0
