gap17=0.59602061679
gap16=0.192067188245
gap15=0.0616025694989
mean_max_rep_answerer=0.0280790417756
gap2=0.0247938865207
gap1=0.0171036859486
qrep4=0.0162370179613
q_post_length=0.0147942960478
ans_comments=0.0115173636471
gap14=0.011301547554
gap7=0.00916087794131
qrep3=0.00894361247576
time_for_first_ans=0.00837829559393
que_score_stddev=0.0
a_post_length=0.0
ans_que_ratio=0.0
num_answers=0.0
mean_rep_questioner=0.0
num_answers_recvd=0.0
ans_score=0.0
que_score=0.0
mean_rep_answerers=0.0
ans_score_stddev=0.0
answering_speed=0.0
relative_rank_pos=0.0
mean_rep_co_answerers=0.0
mean_accepted_answerer_rep=0.0
que_comments=0.0
num_q_answered=0.0
qrep1=0.0
qrep2=0.0
gap3=0.0
gap4=0.0
gap5=0.0
gap6=0.0
gap8=0.0
gap9=0.0
gap10=0.0
gap11=0.0
gap12=0.0
gap13=0.0
num_questions=0.0
