gap20=0.561740240449
gap19=0.111585197741
gap17=0.0661876273877
gap18=0.0487087514032
gap2=0.0359985132933
mean_rep_questioner=0.0225147291426
mean_rep_answerers=0.019416918615
answering_speed=0.0145904215188
q_post_length=0.0140645935917
num_questions=0.0137883861157
gap9=0.0128290524571
gap3=0.0123763684615
gap6=0.0122724437062
qrep4=0.0111450879526
qrep3=0.00998660621271
gap15=0.00869392401495
gap1=0.00752689558978
qrep2=0.00644113462608
mean_max_rep_answerer=0.00563786311518
gap5=0.00449524460489
que_score=0.0
ans_score=0.0
time_for_first_ans=0.0
ans_score_stddev=0.0
que_score_stddev=0.0
relative_rank_pos=0.0
gap16=0.0
num_answers_recvd=0.0
mean_rep_co_answerers=0.0
num_answers=0.0
gap14=0.0
gap10=0.0
ans_que_ratio=0.0
a_post_length=0.0
gap13=0.0
ans_comments=0.0
num_q_answered=0.0
mean_accepted_answerer_rep=0.0
qrep1=0.0
gap12=0.0
gap11=0.0
gap4=0.0
gap7=0.0
gap8=0.0
que_comments=0.0
