gap1=0.290737532513
mean_accepted_answerer_rep=0.17786580278
gap2=0.138693103179
time_for_first_ans=0.0893369808067
mean_rep_questioner=0.0816861829295
answering_speed=0.0489524957105
qrep1=0.0294884675188
mean_rep_answerers=0.0237075937832
ans_score=0.0217467677626
q_post_length=0.018141473655
que_score=0.015801654605
mean_max_rep_answerer=0.0149371554732
num_answers_recvd=0.014805076365
a_post_length=0.0123752742723
que_comments=0.00605294660601
num_questions=0.00424826008402
ans_comments=0.00361606411156
qrep4=0.00215784901874
que_score_stddev=0.00183648488564
qrep2=0.00126274867959
relative_rank_pos=0.00122437239348
qrep3=0.000780582639016
ans_score_stddev=0.000459877260402
num_q_answered=8.52529676882e-05
mean_rep_co_answerers=0.0
num_answers=0.0
ans_que_ratio=0.0
