gap19=0.568421264224
gap18=0.162364219296
gap17=0.0775422774397
gap2=0.0373808636629
gap6=0.029774316561
qrep2=0.0232295500233
gap13=0.0151675142556
mean_accepted_answerer_rep=0.0133287516763
gap12=0.0105207998364
qrep4=0.00933457399836
gap10=0.00914480147364
gap15=0.00757461681407
qrep3=0.00747134784601
gap14=0.00718573298177
gap8=0.00697048535365
qrep1=0.00617919203688
gap16=0.00523630223695
a_post_length=0.0031733902833
gap3=0.0
time_for_first_ans=0.0
num_answers=0.0
num_answers_recvd=0.0
ans_score=0.0
que_score=0.0
ans_score_stddev=0.0
que_score_stddev=0.0
relative_rank_pos=0.0
answering_speed=0.0
mean_rep_co_answerers=0.0
mean_rep_answerers=0.0
mean_rep_questioner=0.0
ans_que_ratio=0.0
gap4=0.0
q_post_length=0.0
ans_comments=0.0
que_comments=0.0
num_q_answered=0.0
mean_max_rep_answerer=0.0
gap11=0.0
gap9=0.0
gap7=0.0
gap5=0.0
gap1=0.0
num_questions=0.0
