gap3=0.26472670924
gap1=0.174762925171
mean_accepted_answerer_rep=0.109603010691
mean_rep_answerers=0.0872993169852
gap2=0.06753680719
answering_speed=0.0614187702209
q_post_length=0.0521812361571
mean_rep_questioner=0.0470657719657
qrep1=0.0252631417318
time_for_first_ans=0.019129501852
mean_max_rep_answerer=0.0152988189082
que_score=0.0148993106693
ans_score=0.0134104648616
a_post_length=0.0121049139441
num_answers_recvd=0.0107294258033
que_comments=0.00575616342435
qrep4=0.00460961698187
ans_comments=0.00437930825863
num_q_answered=0.00320365392725
que_score_stddev=0.00307688163807
qrep2=0.00209395999043
relative_rank_pos=0.00100040049554
ans_score_stddev=0.000336510986186
qrep3=0.000113378905999
num_answers=0.0
ans_que_ratio=0.0
mean_rep_co_answerers=0.0
num_questions=0.0
