time_since_last_gap=0.836204105721
accepted_answerer_rep=0.0347757993485
num_posts=0.0295741447124
ans_que_ratio=0.0216114202666
que_score=0.0174982762775
num_answers_recvd=0.0156625231999
ans_score=0.00975214814276
rep_questioner=0.00821864226131
first_post_gap=0.00476683041208
num_answers=0.00367377307724
gap=0.00318161213666
num_q_answered=0.0028317969703
ans_comments=0.00269813319514
que_comments=0.00232094573479
answering_speed=0.00174856180149
rep_answerers=0.00141275047285
q_post_length=0.000882688920067
ans_score_stddev=0.00080634269009
time_for_first_ans=0.00063337177921
max_rep_answerer=0.000631713524217
rep_co_answerers=0.000423481066088
a_post_length=0.000405856068112
que_score_stddev=0.000138372559016
num_questions=9.35558942832e-05
relative_rank_pos=5.31537685439e-05
last_post_gap=0.0
