gap5=0.370801957103
gap4=0.125790508985
gap1=0.089234314716
mean_accepted_answerer_rep=0.0863725588131
mean_rep_questioner=0.0763878125763
num_answers_recvd=0.0504258342173
gap3=0.0332203117886
gap2=0.0213632470451
mean_max_rep_answerer=0.0186223452132
q_post_length=0.0154999805708
answering_speed=0.0153319008303
time_for_first_ans=0.014221984879
a_post_length=0.0132836909669
mean_rep_answerers=0.0125799598753
qrep2=0.0125292993077
qrep1=0.00841118792747
num_q_answered=0.00719006517109
que_score=0.00494585814175
ans_score=0.00443403994352
ans_comments=0.00391000034873
qrep3=0.00371252457324
relative_rank_pos=0.0027950660201
que_comments=0.0026006486081
qrep4=0.0024599859837
ans_score_stddev=0.00187505758603
num_questions=0.00108210019734
que_score_stddev=0.000917758611932
mean_rep_co_answerers=0.0
ans_que_ratio=0.0
num_answers=0.0
