#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14
-1,5,9,1.6,1,1,1,1,1,29099,,6623,492,289,1.66667,780,686,1,1,5,8666,6006,43,103.667,1008,,100277,2330,13,25,16892,24,19947,1285,3687,515,1251,2851,201,1356
-1,11,3,1.90909,1,1,0,1,2,542,,37584,204,17820,0.333333,1066,1322,1,1,11,49524,40353,,204,,,11,1681,167,1183,1380,371831,80,450569,38718,24376,5835,1760,21325,50416
-1,13,1,2.07692,0,1,0,2,1,4382,,16555,88,858,0.142857,133,2052,1,2,13,22927,16635,,88,,,13,2831,1465,4369,1538,1600,1243,99,17127,1382,174,1287,8940,22869
-1,0,14,,2,,2,,2,1554,,,8536,,15,1356,0,0,,0,,,6,170.5,1219.33,24520.2,29,1512,147,1906,2436,374,924,330,949,81,12,19,22,27
-1,14,0,1.78571,,1,,1,,,,40810,,11021,0.0666667,0,1170,,1,12,55880,57845,,,,,2,8399,4507,2826,1337,276,1409,14738,31444,247546,199883,7376,70829,32955
-1,1,13,1,8,2,16,0,2,210,,4438,4421,805,7,528,432,1,0,1,4438,4438,,291.5,951,7584.57,2852,12949,170,1194,269,622,1020,5434,1387,1538,230,64476,6055,1419
-1,14,0,1.64286,,1,,1,,,,5331,,26582,0.0666667,0,523,,1,12,9957,6498,,,,,11,24768,4434,18743,47635,2248,428,108234,1595,35902,237041,9128,36,47107
-1,1,13,1,1,0,0,0,1,15,,441,779,3,7,396,1121,1,0,1,441,441,24.6667,280.75,720,2258.33,27,3,27047,17661,6762,24,7216,1710,5681,7011,113,6338,20864,9902
-1,1,13,3,2,1,2,0,1,29590,,1578,2176,1509,7,563,2221,1,0,1,4618,4618,35,169.5,863,3640,90672,38872,11609,2507,52295,57336,3,15,34,18,53,10,23,1382
-1,0,14,,1,,1,,2,21,,,1936,,15,843,0,1,,0,,,23.8,,694,4842,5913,53,19,1222,67,63,1245,1622,1265,3290,78,174,9442,599
-1,0,14,,1,,2,,2,9439,,,1369,,15,394,0,1,,0,,,31,233,1165.5,3601.33,38,5647,26,21,51,690,592,40,68,39,746,91,2885,172
-1,0,14,,1,,1,,1,1753,,,875,,15,739,0,1,,0,,,12.3333,249.571,684.667,8405,3,159989,28557,181365,115024,56195,362,2500,344401,11598,26043,44211,44691,34777
-1,3,11,1.33333,6,1,8,1,3,63,,73167,3855,79,3,387,734,1,0,3,73452,72882,,,992.333,5571.8,132284,5282,4472,10473,278,1505,891,511,15106,187,80,41,1332,23
-1,8,6,3.875,2,2,2,1,2,94462,,30746,4880,82,0.777778,480,546,0,0,8,73412,78447,,,830,8929,0,1461,25,41,8448,281,1359,1368,362994,60369,4135,36,136,12690
-1,7,7,1.85714,1,1,2,1,1,188045,,8431,621,65720,1,772,1096,0,1,7,10591,8510,,190.2,1318,2081,27741,4249,4488,4283,6886,281,2488,5905,20416,56239,14401,1477,598986,8713
-1,9,5,1.88889,1,1,1,1,1,310233,,41020,927,28538,0.6,542,1485,0,3,8,83766,28358,31,185,650,3584,138268,140158,47965,44064,122476,21208,29226,87829,64895,11,25562,225,89222,35805
-1,5,9,3,3,1,6,1,1,5284,,3800,1766,3640,1.66667,497,958,1,1,5,12046,1418,,279,628.75,3275.5,193307,13,34,50,5,23,302943,18569,27,16055,1200,58,351,51480
-1,14,0,2.85714,,1,,2,,,,41818,,9,0.0666667,0,907,,1,14,114687,,,,,,0,9769,14274,56,1710,7088,2903,6910,13,3049,76,141,5294,222
-1,6,8,0.666667,0,0,0,2,1,282785,,45007,218,61,1.28571,343,777,1,1,4,45007,45007,2.16667,,865.5,,0,443702,2783,34,8,29,1350,13,190,87,6,1793,11,3
