#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13
-1,10,3,1.6,0,0,0,1,1,243858,,24095,676,13179,0.363636,490,2900,0,3,10,47791,48105,19,,,1990,2466,305,10,17202,8,33045,37786,22751,17358,47753,41421,11354,30368
-1,1,12,1,1,2,1,0,1,478663,,1360,758,7,6.5,590,566,0,0,1,1360,1360,46,159.6,1112,2436.5,56,213409,9683,118327,274900,19,1291,7392,11459,20155,30183,62162,177248
-1,13,0,2.07692,,1,,1,,,,59613,,66304,0.0714286,0,498,,1,13,89777,55267,,,,,75,61,141,1040,360,2833,44,27,824,4579,120,43,248
-1,10,3,1.3,0,1,0,1,1,2101,,2221,312,13094,0.363636,319,2750,0,2,9,3722,1206,,312,,,0,5714,4720,645,30427,8654,9104,13047,1057,1122,4602,8729,3987
-1,11,2,2.45455,3,2,3,2,3,268,,20935,10026,136,0.25,237,510,2,1,11,45793,33143,,,,10025.5,0,21013,7738,12310,2868,103,16077,245,12363,29140,3060,4281,8371
-1,2,11,3,3,2,7,1,2,199,,3406,2189,541,4,641,394,1,0,2,7841,5026,,,959.857,4339,39,40,7,276,14,85,77,18,21,430,109,23,14
-1,11,2,1.09091,0,1,0,1,1,49932,,14922,171,536,0.25,380,532,0,1,8,16909,16909,6,335,,,183802,18,17773,571757,24659,2832,8159,464,6646,129,144,57,94
-1,12,1,2.33333,0,0,0,1,1,2763,,15490,327,474,0.153846,79,851,0,1,12,27442,12224,,327,,,3,6997,1547,898,22,1546,296,171,1220,4608,2753,20204,4184
-1,13,0,1.38462,,0,,0,,,,46029,,51971,0.0714286,0,1748,,1,12,54776,16844,,,,,11061,10903,8427,12315,18152,18533,4741,18256,39009,1595,8285,1140,7521
-1,9,4,1.66667,3,2,3,1,3,865,,15403,2101,71653,0.5,1112,1317,1,1,8,24610,12018,,393,1107,6510,15,113790,122464,347314,12454,39121,109215,111350,1082,9580,51055,2306,264341
-1,13,0,2.46154,,0,,1,,,,10728,,25,0.0714286,0,939,,3,13,17657,7708,,,,,0,146,2256,1563,1735,1000,2754,1589,405,1550,1290,2692,3201
-1,1,12,5,5,51,10,0,2,137,,89713,3938,30,6.5,642,525,1,0,1,231365,231365,,310,750.8,10641.8,139077,560,988,541,1505,477,59,2172,514147,26,204,2060,7
-1,3,10,2,2,1,4,1,2,4,,45892,8959,157,2.75,349,628,1,3,3,80455,17113,21,294,1014,43085,0,47525,58932,12,33,8,38,157,9,375,908,35,15
-1,13,0,1.84615,,1,,1,,,,12310,,164,0.0714286,0,902,,1,12,17607,23218,,,,,13316,9924,4237,4216,10397,17176,2162,1992,2542,11860,35992,2330,21832
-1,12,1,0.75,1,0,0,0,2,2470,,3712,53,29575,0.153846,317,801,0,2,7,4230,5116,53,,,,73,4861,2470,1378,11539,9118,6676,1795,7260,31455,8524,1299,23
-1,6,7,1.83333,0,3,0,3,1,30861,,3208,373,2865,1.14286,450,782,1,6,5,6904,6717,15.5,237,935,,99,209,686,13,112,7736,10801,85676,16794,192845,11738,17433,24690
-1,10,3,2,0,1,0,1,1,8213,,30865,48,2479,0.363636,431,1007,0,2,10,40179,33164,29,87,,,43041,255196,132552,7108,34080,84670,31779,2757,147,51518,24595,183368,222251
-1,2,11,8.5,1,4,1,4,1,24418,,9287,22907,153,4,402,3002,0,0,2,46942,4240,,402.5,1034.33,45031.4,0,1853,3,3,1009,8,50239,48038,5,3630,1416,4947,92
-1,1,12,1,1,1,2,0,1,803,,2000,448,29,6.5,618,465,1,0,1,2000,2000,3.33333,196,796.333,,8,19,46,402,34,718,166,520,22,16,615,339,1850
-1,10,3,2.4,2,1,2,2,2,110242,,6100,467,27755,0.363636,321,454,0,2,10,16531,2124,,109,646.5,,20218,52,22,43,1001,1503,236,8390,11,7239,8769,4125,18984
-1,5,8,1.8,1,2,1,1,1,20,,9134,321,18,1.5,804,1456,1,1,5,11227,6866,17.6667,309,794,,0,112,34,617,10,20,9,12263,6124,12,25439,14609,2701
-1,12,1,2.83333,-1,1,0,1,1,21,,24141,52,18,0.153846,449,1239,0,2,12,51358,22374,52,,,,23763,17850,14120,44765,10044,5603,408,61,89145,21,86440,30153,15445
-1,0,13,,2,,2,,1,110332,,,1802,,14,1236,0,1,,0,,,6,386.667,799.75,6348.67,6,1791,53,9,52,1315,168,15896,2763,2701,14,15,1669
-1,12,1,1.33333,0,1,0,1,1,1488,,15793,335,7457,0.153846,369,422,0,2,9,31694,16282,,335,,,0,67,78020,39,873,326,288,67587,12819,2465,7381,2730,9290
-1,0,13,,3,,3,,1,5453,,,8377,,14,288,0,1,,0,,,,76,,9415.12,9755,1366,1847,214,24,11,2880,53,5766,20,2,477,1594
-1,5,8,1.2,1,3,2,4,1,277594,,9961,6730,101,1.5,377,1006,2,1,5,10181,10936,47,202.5,597,13197.2,7,5633,90697,8956,38549,17113,474,22709,17580,27256,17292,3028,8418
-1,2,11,4.5,1,4,3,2,1,698,,98615,6588,8,4,408,760,0,1,2,150686,86122,47,329,,10808,8589,7303,8919,31233,484,276275,1221,7011,3085,18704,148658,18741,148439
-1,8,5,1.375,2,2,2,1,2,35276,,90609,5569,35799,0.666667,1475,1062,1,1,8,101205,101205,16,,1595,8744.67,55,2955,4078,2790,3112,4067,1425,33,73558,1522,8498,18980,10027
-1,1,12,1,2,2,2,0,2,11,,65984,1305,27,6.5,314,452,2,0,1,65984,65984,55,315.4,528,3049.25,159831,3295,5648,57,1138,32,304,1364,4,1158,4288,7970,3603
-1,4,9,2,1,2,1,2,2,1463,,12019,1748,27,2,290,888,0,1,4,21096,16425,14.6667,273,743.5,13378,34,25737,10090,4350,40603,1507,21255,21526,5778,4394,9996,31840,4279
-1,9,4,2.66667,1,4,2,5,2,2547,,25637,847,1180,0.5,816,780,0,1,9,47969,44072,,,846.5,,1793,1084,292,2900,1302,4987,2276,3001,13006,9597,23951,1224,39746
-1,1,12,1,2,2,2,0,2,35,,3354,7061,2,6.5,714,1052,1,0,1,3354,3354,,183.25,850.2,26584.3,180,76,67,26,3,1727,686,519,12,2543,1899,67459,15073
-1,0,13,,4,,9,,2,33,,,15151,,14,366,0,1,,0,,,2,247.667,985,38651.8,29293,6774,1462,5,3,1575,1571,12810,87,5421,14479,4244,55
-1,6,7,1.66667,1,0,2,0,1,149577,,2338,386,13422,1.14286,326,1225,0,0,6,4161,988,6,350,585.25,,177308,19960,186070,51,5,5,1793,8,78428,6,8610,46304,15822
-1,0,13,,3,,4,,2,13432,,,906,,14,614,0,1,,0,,,25,210.6,1048.67,1890,6,25153,19,54,65,21,192,322,11,19,1185,70,2342
-1,6,7,6.33333,7,11,6,11,6,9324,,9362,3514,9,1.14286,1036,554,0,0,6,41703,10000,,191,769.333,9291,2062,10,7095,3648,23,5,22,37,11445,858,10807,685,7039
-1,5,8,2.2,11,1,27,0,3,60,,33764,2670,61,1.5,579,1247,2,0,5,112778,2041,,,975,3348.6,11,8197,244,173,1056,13,94,2761,33357,7222,6,261,110724
-1,2,11,0.5,1,1,2,1,1,571,,1684,1681,94,4,569,1572,1,1,1,1684,1684,10.5,270.667,975,4909.67,489468,5449,29,3,12,5,68,1602,12738,25,119,65,4084
-1,13,0,4.23077,,2,,6,,,,52805,,55,0.0714286,0,156,,1,13,101785,69771,,,,,5,45938,238,2754,70,1104,1581,23,20,112,4078,62,55
-1,7,6,2.14286,1,2,0,2,1,73380,,39453,2389,108,0.875,573,2163,0,0,7,61618,55855,6,172.667,674,13134,123794,11870,51963,950439,333,368427,4138,10182,146696,21447,697,22,541
-1,4,9,3,1,3,1,2,2,101,,17743,7660,155,2,358,592,1,2,4,29701,12759,,,1059,12060.7,0,2,23,12,205,33,15,2366,432,7344,6995,61,25749
-1,12,1,2.66667,4,1,0,1,1,551960,,23130,507,37,0.153846,118,879,0,1,12,30228,7630,,,507,,9931,1954,4278,40086,1021,15994,169,2881,1507,10561,4430,1054,1610
-1,9,4,2,12,6,11,6,3,24428,,13632,3607,9002,0.5,514,709,2,0,9,28222,11529,,,,3607,82060,5856,1252,1714,434,850,5819,20164,31586,48,455,8327,1772
-1,2,11,1,3,2,4,0,2,374703,,33244,3634,348,4,646,1327,1,1,2,33244,33244,31,196,1332.67,8922.25,69,286071,18,11429,1693,1728,863,1293,2914,7626,2421,193,55
-1,0,13,,1,,1,,1,103,,,272,,14,851,0,1,,0,,,19.2,120.286,,2602,18,718,39,2010,827,41,123,117,84,262,10,1071,164
-1,0,13,,1,,2,,2,13291,,,8791,,14,310,0,1,,0,,,28,289.667,876.8,33403,156733,351,4028,16105,7,1474,8532,1291,28841,17,4,101,64385
-1,0,13,,1,,1,,1,1676,,,6652,,14,406,0,1,,0,,,24,204.333,947.333,82330,13,20,16,65,6663,124,3080,17226,1426,216,2780,7064,23070
-1,0,13,,1,,2,,1,17,,,1521,,14,456,0,2,,0,,,46,180.75,1326.67,3743.25,141172,25,2198,37,329,5984,9,12517,25900,177,1652,17181,1508
-1,0,13,,2,,5,,2,11136,,,10868,,14,384,0,1,,0,,,30,269,698,14029.1,0,116,21,27,55,78,87,945,10,73,308,108,4
-1,0,13,,2,,1,,2,152540,,,549,,14,250,0,0,,0,,,3.5,122,859.4,2223,3683,7118,5,41,2748,1733,12,5587,4867,13,18119,37,2
-1,1,12,0,1,0,1,0,1,110271,,,1040,,6.5,1676,5959,1,0,0,,,25.4286,175,,3031.75,804,17273,11811,99,203,70,978,1849,1439,2264,66,1564,152
-1,8,5,1.5,1,0,1,1,1,10163,,14924,625,7892,0.666667,1117,1789,0,2,8,27445,33420,,343.75,,1750,165653,175743,21685,3143,742,531,5656,1197,2033,5755,3942,1882,17
-1,11,2,1.45455,0,0,0,1,1,2033,,13162,226,6067,0.25,407,1775,1,1,9,21632,14187,,226,,,0,149272,31718,1258,10249,8568,1337,29433,2807,20,8571,5612,4130
-1,11,2,2.09091,0,1,0,1,2,160,,19827,912,81,0.25,210,456,2,2,10,38094,29314,,,912,,4,10215,9957,14676,67,35750,22989,8658,213,39,19967,1243,28
-1,1,12,1,1,1,2,0,2,10838,,5165,279,36,6.5,643,312,1,0,1,5165,5165,6,212,716,,12,1349,1206,335,1643,8149,198,1622,814,1778,4051,728,1222
-1,11,2,1.72727,1,1,0,1,1,48640,,15733,65,95,0.25,333,876,0,1,11,17055,14809,6,123,,,31772,15973,1190,4226,4475,54888,28397,17628,33530,14075,146,1178,2613
-1,1,12,2,1,10,1,0,1,6066,,103028,359,143,6.5,401,1507,0,0,1,206046,206046,29.3333,151,796.5,2088,42,74845,21791,49,1149,247,5,1363,220,5802,11,2551,64
-1,13,0,2.23077,,1,,1,,,,28929,,10,0.0714286,0,977,,1,13,34778,35341,,,,,11,314,86,128,1135,152,2949,319,890,85,1471,2804,259
-1,7,6,2.85714,1,2,1,2,1,50,,30260,426,12,0.875,532,1140,1,4,7,55827,25383,19,203.333,964.5,,370554,201,1396,5703,5,64,7,15,5,1521,2,2602,54
-1,2,11,3,7,15,11,8,3,13535,,10235,3770,20,4,703,1483,1,1,2,14191,9804,,178,930,6910,6,38,44722,6,46,4034,372,8,1001,39211,51,203,30
-1,3,10,1.66667,1,2,2,1,2,382505,,2992,2459,253,2.75,624,2533,1,2,3,4270,4270,33.2,143,,6071.25,0,17729,90,46862,5,106902,2892,1088,328,267,49584,122798,12836
-1,0,13,,8,,10,,2,1952,,,4963,,14,691,0,1,,0,,,,339,615,5959.33,174,3809,244,23419,900,1399,237,40842,598,1956,9,1436,154
-1,1,12,2,1,0,1,0,1,266932,,628,1339,10,6.5,745,1236,0,0,1,1024,,28.5,115.333,1419,6241,60,4458,30824,3341,30950,58338,118,4150,1620,5120,560,5710,9128
-1,0,13,,1,,1,,1,52,,,408,,14,157,0,2,,0,,,12.25,121,955.4,,0,4,26,9671,150055,3,9,3,8,1348,154,4,11
-1,10,3,4,0,2,0,2,1,593,,10279,1038,35,0.363636,401,738,2,1,10,21779,6399,,,1038,,23435,2898,25145,6063,1225,27721,14201,14267,307,8589,1089,13165,327
-1,10,3,2.3,1,1,1,2,1,34580,,5458,90,21,0.363636,1066,790,0,1,9,10665,5589,6,132,,,315318,5052,14666,17878,6584,27168,4357,2078,1116,1682,30046,15735,95472
-1,5,8,2.8,1,1,2,1,2,522,,13287,6917,9,1.5,550,711,2,0,5,37538,4189,,238,868.5,17209,0,4426,13,2655,99,72,58,254,1067,149,79,110,5397
-1,11,2,1.09091,0,0,0,1,1,269083,,5242,111,7122,0.25,209,513,0,1,9,6383,,,111,,,10397,11122,4432,8576,7219,4640,35992,2563,141,51694,35,8582,5962
-1,4,9,8.25,0,10,0,10,1,8841,,8920,4504,13,2,637,1315,0,0,4,54101,11952,,160,1318,6290.33,24416,6,253,2755,2091,2,616,65,7373,0,2143,722,50
-1,11,2,0.818182,0,0,0,0,1,5039,,3490,88,17916,0.25,331,646,1,3,8,3494,3486,35,140,,,3,112178,28841,205,998,1453,5845,5957,34384,1355,29037,22591,8825
-1,0,13,,1,,1,,1,699,,,532,,14,349,0,2,,0,,,13,97.3333,553,2990.5,2656,216086,34,1444,12612,30,141,325,248,5293,2580,8,1617
-1,12,1,1.5,0,1,0,1,1,5770,,6920,83,12714,0.153846,69,480,0,2,10,10088,14265,,83,,,45,1409,1307,2706,2983,80,2954,2438,6480,2919,2717,4187,67221
-1,5,8,2.2,1,3,2,4,1,1532,,11888,2200,25041,1.5,705,1256,0,1,5,27850,34611,33,210.5,691,5472.67,3146,568,1376,692,283,1980,70,10952,354,2337,1525,817585,72536
-1,13,0,2.23077,,3,,5,,,,5396,,5730,0.0714286,0,1158,,2,13,9449,4357,,,,,28,1128,11929,19888,9668,12916,1920,118,158432,38474,17140,134774,54261
-1,10,3,2.5,2,1,2,1,2,141631,,52856,2174,38601,0.363636,384,536,0,2,10,90930,100439,,271,,5981,0,1121,288,2612,14379,1495,8569,4407,55,5726,12,2606,7487
-1,3,10,0.666667,0,0,0,0,1,30918,,34758,49,252,2.75,412,737,1,2,2,34758,34758,13.125,190,,,4172,4307,21867,3,8811,6830,3,207,1156,41,64,2790,4708
-1,0,13,,3,,1,,2,543,,,1940,,14,773,0,1,,0,,,7,229,973,4172.2,15,1434,1420,16140,2577,1435,7167,2868,7277,8,2823,5,6
-1,2,11,2.5,0,2,0,2,1,661,,6923,863,122250,4,461,1059,1,3,2,22672,2019,20.3333,187,928,3041.5,74655,54,14696,6855,46340,2501,372,45829,123,4687,669,5922,6216
-1,11,2,1.63636,0,0,0,0,1,380,,8234,1912,12463,0.25,225,854,0,1,11,19374,2976,,,,1912,10,50588,20034,672,13739,87,22280,16383,4394,3224,7724,45,5706
-1,2,11,1.5,0,2,0,2,1,393959,,8645,2365,366946,4,655,276,0,1,2,8771,,1,339,1017.67,4457.2,0,362659,71437,222645,51154,3,3,27,109,4,11,18368,296
-1,3,10,4.33333,2,20,4,23,2,13406,,8045,4227,6,2.75,617,410,0,1,3,16557,7614,,222.5,1142,7680.2,19300,1626,21633,181327,35947,20985,10532,5647,50711,18516,7230,19,1222
-1,5,8,4.6,1,5,1,3,1,12553,,18367,4556,29,1.5,459,838,0,1,5,68168,43712,,257,1216,11081,80561,30254,70562,18577,1547,126,26,92,44291,1535,6,5,73416
-1,12,1,2.25,0,1,0,1,1,9257,,5390,319,36104,0.153846,241,1076,0,1,11,9684,5788,,319,,,5,131087,61026,9257,6042,87912,31768,16065,11139,51940,5400,191,168
-1,0,13,,20,,40,,4,711,,,5578,,14,725,0,1,,0,,,,129,1058.33,9849.57,7,1227,353,945,850,609,395,50,7,11,13,1,77
-1,0,13,,0,,1,,1,847,,,376,,14,462,0,1,,0,,,11.2857,162.25,672,3487,1149,335,1286,471,2261,6068,5717,402,5,1356,13947,4627,2344
-1,4,9,2,0,2,0,3,1,8,,12482,419,18061,2,306,1273,1,5,4,26735,26735,26.3333,214.75,868,1969,13,1572,2983,1222,97,62,33,37,18,44,1141,47,23
-1,13,0,1.53846,,0,,1,,,,7296,,38,0.0714286,0,836,,1,10,11841,5329,,,,,0,25939,2899,15788,18672,57381,14798,89020,11477,39044,158283,12960,361
-1,1,12,4,3,8,5,0,3,102,,4253,21256,4,6.5,845,2814,0,0,1,13263,1399,,,1223,23077.6,17,324,207,133,826,13,40,8,6,21798,327,3,7131
-1,10,3,3,0,1,0,1,1,108,,11349,12957,19703,0.363636,1006,1426,1,1,10,34665,5432,,123,,19374,4,48742,1411,15952,23,18829,6356,12,6991,371,21,4250,164
-1,1,12,4,1,1,1,0,1,3539,,282,1131,54,6.5,361,1042,1,0,1,527,527,26.6667,272.5,715.667,5130,776049,5845,20463,12996,18278,45,5334,9,30355,30747,30309,12715,5019
-1,6,7,1.83333,0,1,0,1,1,805,,53064,1827,971,1.14286,534,720,1,0,6,79751,87276,46,169,737,5811,26,2775,2958,2510,5937,1878,2139,54,224,1073,3056,1496,953
-1,13,0,2.15385,,4,,5,,,,27726,,24147,0.0714286,0,545,,0,13,57192,65320,,,,,42869,1230,204658,101556,2732,6936,8188,1827,315,701,118,3182,2498
-1,0,13,,1,,1,,1,10052,,,367,,14,472,0,1,,0,,,14.1429,223.4,,3558,4337,4194,5591,12,10,15,111,318,53,71,154,80,749
-1,6,7,1.83333,2,0,3,2,2,484,,46015,262,22441,1.14286,1217,5021,1,1,6,69609,33262,43.5,180.667,601,,206355,8218,6100,5578,13655,12209,1707,20986,199,18712,46212,91655,136817
-1,0,13,,1,,1,,1,18,,,924,,14,343,0,2,,0,,,1,174,845,7585,33159,2762,106,4163,1430,284,28,11,11,43,48,1462,12
-1,13,0,1.69231,,1,,1,,,,2192,,51,0.0714286,0,543,,1,13,3729,1948,,,,,4,12842,74,10093,284,2087,677,3108,14110,1326,12744,18440,1333
-1,1,12,1,0,1,1,0,1,403585,,34655,1101,522,6.5,942,4161,1,0,1,34655,34655,33,190.5,1040,4455,95997,19,5990,14,16,43,2957,2336,64737,494,96,45879,16130
-1,4,9,2.5,2,4,1,1,2,103181,,116329,3713,13,2,525,1083,0,1,4,177263,132289,11.5,392,802.5,7848.25,66241,24337,121,8,1612,7268,1018,1551,17223,120931,1504,15,27316
-1,13,0,2.23077,,2,,2,,,,25020,,28288,0.0714286,0,929,,3,13,45672,36354,,,,,27542,108847,24641,4209,13234,33133,7377,35148,5375,1082,100250,6967,5697
-1,10,3,2.9,0,1,0,2,2,25824,,26300,140,343,0.363636,176,392,0,1,10,70144,76366,,140,,,0,3975,325,10097,20135,9765,1471,5,53141,7434,38672,40511,21326
-1,1,12,1,1,0,1,0,2,8100,,186171,2700,13,6.5,317,501,1,0,1,186171,186171,51,228.333,727,7356.75,64846,42,6,48,19,849,2592,28,12109,18,4277,9991,7290
-1,4,9,1.25,1,1,0,1,1,312828,,92890,3130,6,2,390,158,1,1,4,94970,94970,11,113,1266,12587.5,71,26024,30,150,2528,51,66,3010,5518,12,29,1263,10
-1,13,0,1.84615,,0,,1,,,,7221,,9,0.0714286,0,978,,1,13,10362,6205,,,,,4,1968,219,761,409,2889,1189,1272,4444,95,98,2068,441
-1,0,13,,2,,4,,1,30530,,,2786,,14,353,0,1,,0,,,1,189.667,668.5,4901.71,102127,255,20,1100,375,1094,7465,5441,20533,8735,15571,4138,6174
-1,9,4,1.22222,0,0,0,1,1,290331,,15079,171,88,0.5,140,657,0,1,8,34637,39037,29.5,180,,,7,33302,35,25406,12946,37431,10315,88,18748,4067,33054,5995,27229
-1,13,0,1.84615,,0,,0,,,,10801,,11,0.0714286,0,1019,,0,13,12083,3388,,,,,26,539,276,735,4510,70407,303,1090,23659,5098,229,3040,2986
-1,0,13,,1,,1,,1,51322,,,471,,14,636,0,1,,0,,,6.8,267.25,1096,1732,64,8770,1267,28,17,17,107,80,4363,1592,11303,136,11195
-1,13,0,2.92308,,0,,1,,,,20013,,22462,0.0714286,0,702,,1,12,51677,44432,,,,,5,790320,1016,3201,17374,2618,36304,51771,29,820,15615,6035,7144
-1,8,5,4.875,0,1,0,2,1,39138,,6785,1169,89,0.666667,339,1274,0,1,8,18378,10720,,177,498,3822,0,7299,18804,2915,18288,111,209,312,1328,882,5,8,54735
-1,12,1,2.5,3,3,0,4,1,110,,37291,887,1017,0.153846,674,1083,0,1,12,69685,11574,,,887,,0,110,8459,1265,69122,1382,31,4324,4292,106,254,6905,30276
-1,2,11,1.5,1,1,1,0,1,62598,,53211,1169,16,4,628,1777,1,1,2,54242,52179,17,198.5,1056.25,8168,2801,306775,4129,784,3,127496,8313,415,592,18,3,5,4
-1,5,8,7.4,4,5,3,4,3,14,,14490,3918,43,1.5,747,1173,1,1,5,61329,25642,,287,1203,5914,106,62256,106723,112146,603,8211,26407,57,6303,3704,6,736,496
-1,6,7,2,1,1,1,1,1,187230,,63635,2624,278,1.14286,358,617,0,0,6,66144,16013,,281.333,1335.5,7427.5,22,13155,3318,737,52,602,768,15927,14291,8931,18891,20050,28806
-1,0,13,,0,,1,,1,1566,,,4526,,14,295,0,2,,0,,,15.2,209.833,,28752,130892,34,49,2660,123,7083,518,896,253,3154,3867,31,23863
-1,7,6,1,1,0,1,0,1,92131,,3513,314,1592,0.875,532,871,0,2,6,3958,6396,6,122.5,1618,,11,20000,27813,9447,27658,21910,1498,16,10814,10,38784,20841,6756
-1,6,7,2,0,2,1,1,1,4989,,29870,741,12,1.14286,440,778,3,4,6,59837,46560,23,311,,2391,24,38,1225,11,1356,66,10133,125574,839,1620,215,96,2668
-1,12,1,1.91667,1,1,0,1,1,96,,60247,174,100,0.153846,1092,1388,1,0,12,96215,69432,,174,,,26,381,96,116999,688,4896,77,3643,25140,447,130,83603,6247
-1,12,1,2.83333,1,3,0,4,1,1313,,17399,564,25,0.153846,300,1100,2,2,12,39620,38080,,,564,,0,320,992,13183,11541,6058,4355,37324,219,10985,10328,4053,46439
-1,0,13,,1,,1,,1,64,,,175,,14,564,0,1,,0,,,26.625,208.5,1230,,204,1065,245,6,6,8691,5,3,6,22,809,5,14
-1,13,0,3.23077,,0,,2,,,,28011,,9,0.0714286,0,886,,2,13,87978,14162,,,,,22723,522,943,171,1767,2523,492,40,94,620,7072,1741,562
-1,12,1,1.41667,1,1,0,1,2,895,,4825,109,880,0.153846,166,3124,1,1,12,6088,4714,,109,,,84,8342,21874,1500,1370,895,387,4244,225,4375,1232,5333,3272
-1,8,5,1.5,2,1,3,1,2,87692,,5986,6158,648,0.666667,337,1138,0,0,8,9076,5676,,,,6158,6,2675,139666,7432,70,17461,118,27304,6011,67179,41297,372,129636
-1,0,13,,1,,1,,1,24,,,401,,14,1170,0,2,,0,,,9.75,196.25,877.8,,181,1088,8091,2040,11,28,22,10,13,50,1330,43,57
-1,10,3,1.7,0,0,0,1,1,151452,,20803,343,164,0.363636,237,959,0,2,9,29004,27504,7,323,698,,0,76,76,14313,7589,2668,20373,2643,41643,129685,35,1220,152
-1,11,2,1.72727,0,1,0,1,1,13087,,15963,97,11028,0.25,286,1367,0,1,11,22359,17982,,97,,,19284,8039,21833,14758,4379,11387,4042,4575,1140,4929,2107,4271,4742
-1,13,0,1,,1,,1,,,,5614,,123,0.0714286,0,1170,,0,8,6639,7455,,,,,10,296,96476,3170,9472,46922,48824,33079,4991,38158,22510,7819,16520
-1,0,13,,4,,6,,3,2146,,,6756,,14,353,0,1,,0,,,,415,1076.5,10388.1,14490,113,790,9,4676,164,700,9,13,438,7,461,12
-1,0,13,,0,,1,,1,804,,,706,,14,507,0,1,,0,,,5.66667,194.667,996.6,1794.5,11,10015,12,8,15,16,5,6,21,12,175,11,1061
-1,11,2,1.63636,1,1,0,1,2,54724,,8062,83,8040,0.25,565,835,2,1,11,15347,5584,11,154,,,361,1339,58978,113,32091,109202,18809,670,25219,6955,24434,60625,2534
-1,0,13,,2,,1,,2,42464,,,4514,,14,1006,0,1,,0,,,32,173.333,720.75,13805.2,0,724200,1584,2659,1783,4,9,3137,818,1847,364,833,1191
-1,0,13,,0,,1,,1,34,,,388,,14,381,0,1,,0,,,16.2,132,837,1672,0,359,48,223140,29,22,2034,1477,1933,4414,872,20,11505
-1,11,2,1.90909,1,0,0,1,1,426194,,11306,261,499,0.25,303,990,0,1,10,15624,13814,6,,515,,24902,48,1016,9,1426,1400,1513,8311,640,1838,19695,151418,5138
-1,11,2,2.90909,1,2,1,1,1,4,,33477,107,364,0.25,88,2656,0,2,11,55946,23958,52,161,,,0,7639,2132,1047,2191,135,26707,751,380,5797,16242,11823,2272
-1,8,5,1.75,0,1,0,1,1,202,,10914,344,4006,0.666667,583,1156,0,1,8,24437,14179,56,89,742.5,,24,46,4333,919,14,431,3,1463,6696,2959,232943,210486,4301
-1,5,8,3.4,1,1,1,1,2,48991,,15331,1686,770,1.5,748,3860,0,1,5,33784,2512,,344.667,1319,2783,93487,1153,1699,21466,140,8,45,5465,10146,18896,5760,24313,10374
-1,3,10,1.33333,0,0,0,0,1,1855,,9953,138,598,2.75,393,843,1,2,3,17940,1965,22.2857,220.5,779,,8,487,47543,14008,1780,2533,6,6947,14,56377,5,913,25
-1,12,1,1.75,0,0,0,1,1,1498,,4740,3,334,0.153846,307,964,0,2,12,6285,3802,3,,,,0,1517,8461,3161,8581,1125,5850,5726,15866,6995,1619,1309,409
-1,13,0,2.53846,,5,,13,,,,5346,,35,0.0714286,0,947,,1,13,9499,7603,,,,,8086,424,1364,2629,538,2261,613,1933,593,8625,11384,24371,602
-1,0,13,,1,,1,,2,4901,,,1788,,14,241,0,1,,0,,,35,122,738.5,4459.5,34124,6162,29,1403,26,478,2029,7184,8614,40351,1807,10090,8378
-1,10,3,2.1,2,2,1,4,2,33822,,9259,973,6803,0.363636,538,523,0,1,10,10768,7674,,,973.333,,0,206018,50406,70377,20453,28894,1273,16031,1202,41974,103101,8552,7430
-1,13,0,2.23077,,1,,1,,,,27920,,2049,0.0714286,0,373,,2,12,45278,13643,,,,,9,41,7675,628,12325,105786,81,170,13072,52855,269364,39338,89649
-1,1,12,2,2,4,1,0,1,22305,,20671,537,106,6.5,887,350,1,2,1,40441,900,31.75,307.667,858.5,1954,2,657842,2819,18,17,6,23,10,20,8,6,8,13
-1,5,8,1.6,1,3,1,3,1,1059,,14979,1986,105,1.5,394,474,1,1,4,32916,17015,6,308.333,1087,4623,20144,15904,18186,18747,13233,148390,226140,2514,121546,718,28995,12785,401
-1,6,7,2.66667,2,2,2,1,2,264,,34828,460,5198,1.14286,303,1339,1,1,6,40242,3371,42.6667,114.5,665,2195,0,13232,981,7337,77653,253739,2798,11552,15590,73633,1596,8387,31821
-1,0,13,,1,,1,,2,44039,,,7288,,14,629,0,1,,0,,,32.3333,350,977.75,25270,12,20,13096,1280,13,5469,1604,1348,258,5934,973,19,1433
-1,5,8,2.4,1,1,1,0,1,303232,,2925,1412,53,1.5,896,839,0,1,5,4970,6609,28,101,550,4538.5,0,2977,115541,607,25861,37708,2119,16781,15551,17,5672,194711,40376
-1,1,12,4,1,6,1,0,1,35,,2450,901,9,6.5,524,1784,2,3,1,4602,1212,29,240.5,808,6527,2,1434,36,21901,13,8250,4,19,9,47181,4,16,47
-1,3,10,1.33333,4,0,6,0,2,378,,11384,2402,214,2.75,1088,1621,0,2,3,11500,11500,,354.5,992.667,6563.5,3554,1253,306,1848,46072,1163,87,2562,629,2179,1497,1249,150
-1,0,13,,3,,2,,1,69553,,,1196,,14,942,0,1,,0,,,23.75,145.5,503.4,6321,11,8,5,4,1388,22,3981,5,10077,9,6,3431,7855
