#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13
-1,1,12,1,3,0,8,0,2,90505,,936,720,19612,6.5,535,1244,3,4,1,936,936,39.5,179,931.889,,12,55158,4,17,97,33,4236,4094,8792,13,17,46,21
-1,9,4,1.55556,1,3,1,5,1,24435,,4620,2651,86487,0.5,631,617,0,1,9,4783,6745,,182,,3474,7314,227,2836,40152,21927,139762,238788,17054,59095,172,1281,30758,18
-1,13,0,2.07692,,1,,1,,,,15672,,3339,0.0714286,0,575,,1,13,25969,20585,,,,,33,312,79,51,10059,955,8641,4486,1371,4425,82,1215,430
-1,13,0,2.46154,,1,,2,,,,39415,,51,0.0714286,0,459,,1,13,72512,19228,,,,,260,11671,12766,30029,15862,5940,9840,18858,214,5470,1521,164,2807
-1,4,9,1.75,2,1,3,1,1,903,,1735,1712,136515,2,1291,565,1,0,4,3792,1134,4.33333,111.5,1314.67,11224,5,9015,8483,14423,30,3,5673,24650,7067,58,29,6,8533
-1,9,4,4.22222,1,1,1,2,3,143139,,20765,6515,12,0.5,1009,921,1,3,9,54203,40235,29,436,582,25012,0,375,583,3375,882,85,1223,14576,4692,72,76123,164303,55
-1,1,12,1,2,4,2,0,2,71,,3079,2944,1792,6.5,385,254,2,2,1,3079,3079,25,273.5,1318,5348.83,125,97,2668,585402,13908,49801,5084,36,56,599,697,53,59
-1,3,10,3.66667,0,2,0,2,1,22590,,72988,8246,4,2.75,447,633,0,1,3,162254,113518,,239.667,,11677,0,6895,30339,6,2,36284,146720,74,6,8398,10,21651,1318
-1,1,12,3,2,0,4,0,2,26,,2629,5588,14,6.5,683,1056,1,1,1,2843,2843,13,117.5,1216.5,9195.86,461922,55,7332,6907,135769,1046,113,14062,5768,3,26374,2,4465
-1,3,10,1.66667,1,1,1,1,1,137448,,10320,1884,56589,2.75,1019,3267,1,0,3,14617,21685,9,123,,3076.5,23392,172672,36723,14183,150473,102464,32973,57846,37653,21826,27415,5109,38
-1,5,8,1.8,1,3,1,4,1,1575,,70377,1626,80285,1.5,444,754,1,1,4,73098,71257,7,405,1351,2810,12,4015,1364,66577,41232,248,1049,6071,9,37200,2865,7576,4098
-1,1,12,2,1,0,2,0,1,40028,,1583,1296,1244,6.5,1395,435,1,0,1,1905,1905,52.5,105.5,927.5,5655.5,5194,16,7309,73499,470,12,6391,37,7,1537,127,1102,393
-1,0,13,,0,,0,,1,314726,,,1515,,14,389,0,1,,0,,,29.5,248.5,902,8156.5,5,8,1248,110,13,1458,5731,18463,32,163,63,16,7
-1,5,8,2.4,0,2,0,3,1,35505,,19991,1886,120,1.5,938,1250,0,1,4,42706,26647,29.5,264.5,1082,6169.5,18,56,11529,2812,1480,7642,3,2713,20198,1078,3391,929,5042
-1,8,5,2.75,1,4,1,4,1,2078,,20309,527,32414,0.666667,800,2064,1,1,8,39606,51806,3,260.667,,1850,3171,33,31,4333,4416,111757,188569,1415,8615,715,3866,8649,11127
-1,1,12,2,0,1,1,0,1,32,,23654,1357,8,6.5,726,491,2,2,1,39647,7661,14.4,254.4,1446,13498,8,600,10,962,1171,368,389,15,17,52,6,553,53
-1,13,0,1.15385,,0,,0,,,,7314,,7864,0.0714286,0,1219,,2,9,8701,7983,,,,,5736,83687,31810,9953,10531,866,63601,2981,1211,17067,10115,10032,18858
-1,2,11,4,5,4,7,0,2,4730,,13487,8605,16,4,622,1567,2,2,2,34923,50210,,420.5,726,24565.7,0,1377,207388,2582,14805,1241,5045,10989,7074,3291,55,896,219746
