#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16,gap17
-1,2,15,1.5,1,0,2,0,1,5087,,700,1197,4784,5.33333,245,701,1,1,2,1081,516,18.3333,184.75,930.6,4167.33,0,124,75,1055,7544,17,1819,117635,2442,1363,19,9,1433,11872,6,4231,5451
-1,5,12,2.6,1,0,1,1,2,764,,38483,793,1220,2.16667,518,1671,2,2,5,76694,7060,36,253,770,5527,278133,99322,2758,13624,128828,454,46976,280,2934,24,6940,30467,44419,5835,51833,13398,2579
-1,7,10,3.28571,3,4,5,5,2,116646,,20811,3495,8,1.375,331,425,1,2,7,48880,24845,,129.5,,4456,8669,5,21,5383,17,4529,93,12,17008,52240,11134,643063,113,15156,51,78857,14345
-1,5,12,2,2,6,2,11,2,102234,,28256,1810,2114,2.16667,1382,2092,1,1,5,83142,14899,26,141.5,719.75,3707,23,35,10865,13,29,24,93923,460759,1407,81513,7137,23896,16868,52,99,9050,2889
-1,2,15,3.5,6,1,13,1,2,212,,27478,5053,37,5.33333,1196,2017,1,2,2,50247,28305,,290.333,784.5,7906.12,81007,97,1108,1955,106,695,40,149,100,126,210,528,71,441,435,2012,477
-1,1,16,2,1,5,2,0,1,15,,83822,2608,3,8.5,609,593,1,3,1,166464,166464,20,246.333,1198,9022.25,50150,392,64,82,44,3,1387,47,9,737,228,145,213,13,755,69,1621
-1,17,0,2.17647,,1,,1,,,,40638,,5291,0.0555556,0,720,,1,17,64763,47978,,,,,0,2371,3259,38687,7574,957,1325,1537,3217,1041,246,309,1653,1409,1261,935,32359
-1,16,1,1.5625,1,1,0,1,2,11848,,49502,539,7704,0.117647,38,1450,0,1,16,66266,54366,,,539,,0,61831,4553,1351,2496,1799,8415,359,2490,127,8840,30,389,619,260,4148,49
-1,13,4,1.92308,-1,0,1,0,1,5,,2425,16,35,0.357143,326,2146,3,2,13,4660,3109,15.5,,,,156,1160,79,1636,118,5669,1108,1382,1764,1452,6991,10033,1710,1166,287,9861,7163
-1,8,9,2.75,3,2,3,3,2,20,,45755,928,247,1.11111,605,437,2,3,8,94204,79638,35,170,1337,2483,26065,2991,11551,121,238720,174,175406,5941,2732,60437,6,106885,11590,51787,19728,7550,50440
-1,16,1,2.1875,0,2,0,3,1,19,,23417,514,262,0.117647,178,952,1,1,16,31527,9125,,,514,,0,43753,1069,3239,4536,585,19,162853,692,1126,1464,1007,4659,21591,25730,8474,4272
-1,0,17,,1,,1,,1,132,,,1710,,18,324,0,2,,0,,,21,217.25,795.667,4677.2,0,10168,17168,22509,20,8358,7588,1028,5080,1436,669,24,1284,1695,211,182,3951
-1,16,1,1.1875,0,0,0,0,1,930,,17232,227,29,0.117647,1391,680,0,0,14,23300,19168,,227,,,11,930,523,1012,11990,23211,16621,17398,4396,197,3108,925,15898,135371,465,6549,40514
-1,13,4,1.76923,1,1,1,1,1,5,,28883,1059,78,0.357143,289,534,2,1,13,47778,30213,,140.5,1584,2370,173351,484,6154,170,4061,1724,37229,19389,47571,21187,49977,29373,86250,360322,42,33,597
-1,1,16,1,1,1,2,0,2,47611,,378,32372,11107,8.5,650,1243,0,1,1,378,378,16,395,1049,57109.1,10,41,56,188390,11107,825,34,60475,158309,92806,44619,75,4196,10386,50,5,31437
-1,16,1,2.1875,1,1,0,2,1,517,,17805,51,17199,0.117647,761,539,0,2,15,37210,30534,51,,,,171998,99,13639,2906,4604,11323,10229,24109,1460,39895,517,14295,15459,137864,3420,19738,47901
-1,16,1,2.4375,0,1,0,2,1,175927,,5169,26,23,0.117647,155,1063,0,1,15,12550,8502,26,,,,12,18774,9773,7290,5752,172,17374,2560,15739,20186,1491,3207,6859,387,2733,8361,21773
-1,4,13,1.75,2,1,3,1,2,332,,13477,4147,80,2.8,571,627,1,0,4,13665,13665,1,212,837.4,9859.8,15,554483,185,1064,214,1175,2972,38,150,15,1787,1483,2190,4469,1815,42959,1176
-1,0,17,,1,,2,,1,14,,,1137,,18,325,0,1,,0,,,23.6667,191.6,875.5,7362,0,11,4,13,8,1736,155,152,5,3,17,9,44,16,2,2,38
-1,14,3,3.07143,1,3,1,3,1,139675,,32069,728,32680,0.266667,660,1616,0,2,14,78946,68170,,368,908,,278070,209935,1053,49,23,510,930,23,156952,1386,2,33617,64,76,14316,298,856
-1,12,5,2.16667,2,1,2,2,1,24,,5699,425,21210,0.461538,405,1060,1,0,12,9359,12077,29.5,353,856.5,,1103,72171,13675,23664,10298,32913,196459,35458,5825,293,60141,28960,30160,8,93,1183,77
-1,14,3,2.28571,1,5,1,12,1,19209,,28847,2890,104,0.266667,276,328,0,0,14,70653,23994,,,,2889.67,543,1030,1496,4084,131,2885,182,7486,4032,36,8620,3158,2443,43079,36,199,3
-1,10,7,1.5,0,2,1,2,1,205802,,8718,1696,626,0.727273,187,633,1,1,10,13177,15947,46,157,823,3563.33,4048,1418,3086,90,1083,24446,262,10087,12723,20473,21561,48605,219400,90318,31713,33,75110
-1,1,16,2,1,2,1,0,2,33373,,22112,44643,134,8.5,532,1039,1,0,1,43679,545,,,855.5,53400.8,15776,9729,356,4204,6342,43903,16137,10164,14170,3424,8829,2611,12770,3968,36,11808,13019
-1,16,1,1.9375,1,1,0,1,1,3,,55061,974,28,0.117647,167,887,0,2,16,67894,62097,,,974,,0,45333,16,6548,108249,8738,10183,2202,1606,7558,14618,7184,2315,7763,1338,23323,18567
-1,17,0,1.70588,,0,,1,,,,3235,,12088,0.0555556,0,545,,2,16,5708,3433,,,,,11272,36250,1376,1544,147,143,887,1444,823,1169,816,542,1126,333,2719,15979,1137
-1,14,3,1.71429,2,1,1,1,1,340688,,16561,132,499,0.266667,1985,747,1,0,14,40578,46167,51,172.5,,,3200,11527,1593,2658,1257,3287,28471,80450,95023,14409,2,15647,13093,138,9712,2972,24802
-1,2,15,3.5,0,6,1,3,1,30,,25274,2761,6,5.33333,496,356,1,1,2,39945,24797,28.75,205,944,5572.71,0,37562,183222,68,5,24,9715,559,13,14,20,27,77,11,711,119,100
-1,4,13,2.5,2,3,7,3,2,13101,,25355,730,14,2.8,208,449,1,1,4,67351,3065,20.75,199.5,1072,2154.67,6,30069,18899,1460,3,3,37165,205,3,62,7131,213,11212,10228,60275,34608,177184
-1,12,5,3.75,2,10,1,11,2,7579,,12304,3179,18,0.461538,349,475,0,1,12,43346,17728,,,1182,3678.25,1004,5888,5568,78131,2774,13106,5633,13461,2261,11600,10085,9158,12755,5973,40325,926,12
-1,9,8,1.22222,1,0,1,1,1,92,,16240,715,93,0.9,496,1377,1,2,8,18836,18836,6,214,988,2142,0,1936,224519,1438,128,23156,1309,14599,1373,3844,14188,720,49815,121,456,2343,4352
-1,2,15,3.5,1,6,1,4,1,1586,,29006,1930,21,5.33333,570,877,1,1,2,98876,11670,13,257.5,1282.67,4008.17,112,13123,19,1390,25663,12956,121,1160,7581,78,21472,103425,7246,49199,92736,417228,168352
-1,15,2,1.4,1,1,0,2,2,103,,4373,163,2116,0.1875,560,661,4,1,12,5188,3482,,163,,,39,24,50537,8327,347,5847,9699,109,14227,36312,5616,300,2860,5330,262,16088,34087
