#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16,gap17,gap18,gap19
-1,18,1,1.27778,1,1,0,1,1,5780,,16942,366,1886,0.105263,61,816,0,2,17,17021,7306,,366,,,3,1443,55,4217,63,3129,2715,7375,9818,104,1352,6094,5782,52,1024,89,1622,1012,201
-1,1,18,5,5,1,6,0,3,14406,,10232,2743,15,9.5,553,382,1,0,1,35085,,44,292.333,1266.75,4738,0,9982,28018,3977,1,14267,14334,243,19844,50416,78163,12410,7553,14,53360,41728,10183,56129,30602
-1,0,19,,0,,1,,1,26,,,4659,,20,524,0,0,,0,,,2.5,189.5,726,7033,1359,4031,198,169,1371,2627,7603,27,1111,1507,206,1140,229,5867,418,762,555,2152,116
-1,9,10,5.55556,3,9,5,9,2,2147,,17966,15247,140,1.1,334,525,1,1,9,51620,19396,28,152.5,560.5,30203.2,52622,2846,1176,3288,3,0,2,5,2099,1460,30,1543,8620,0,1799,1212,1946,2697,1280
-1,4,15,1,1,1,1,1,1,106,,1127,285,101575,3.2,400,1040,2,5,3,1677,2505,18.7143,277.2,920,,36824,74,193,14,10,354,692,471,5,165,896,5,8,317,1267,7358,11467,6,3430
-1,16,3,2.1875,2,1,2,2,2,194111,,8446,3221,31092,0.235294,699,710,0,2,15,16065,6200,6,190,,9467,39,5686,136,6241,25,23854,4040,5006,15925,12830,25675,2887,6106,37234,134711,7219,16833,156362,14760
-1,13,6,1.69231,2,2,2,1,2,2788,,20935,1725,32669,0.5,755,1498,0,0,13,34730,28160,,,1237.75,2698,0,162146,87292,13125,241,12510,3080,22,4341,14585,28847,2503,4468,1377,6942,333,86423,11252,192
-1,0,19,,6,,9,,3,2759,,,5716,,20,518,0,1,,0,,,22.5,264.5,748.333,16134.6,27091,20,31,27,41,18,20,36,10,10,7,1104,6,1715,7,1123,6,143,2281
-1,7,12,1.42857,1,1,1,1,1,611,,2109,1476,75016,1.625,686,1188,1,2,7,2442,2442,36.75,184,717,3807,35,71813,331,148,927,4499,22,1085,4336,1068,9433,2892,1163,11,2560,549,11552,5638,10234
-1,0,19,,0,,1,,1,577,,,602,,20,354,0,1,,0,,,22.7778,384,608,2400.67,0,37349,3131,4181,8,5628,635,7,8759,15599,5732,1063,8579,3,299,1156,2120,2716,11656
-1,14,5,2.28571,3,2,2,2,2,40190,,21702,1585,1949,0.4,593,581,1,1,14,44545,25268,,,1221.75,3040,5877,5889,2560,18,1557,140,4207,1525,14239,7427,18368,281,234669,77888,12702,10431,89172,19963,7131
-1,15,4,2.2,0,1,0,2,1,10,,11263,1394,98508,0.3125,145,533,0,2,15,16623,13865,37,,845.5,3849,63865,1337,20,2531,21496,8686,5889,15890,7323,10027,9877,4690,8191,81,15940,1357,17648,4356,27019
-1,19,0,3.26316,,3,,6,,,,35637,,17540,0.05,0,242,,1,19,95128,73729,,,,,2144,8662,337,5786,1118,149,426,48,9825,290,2219,7679,3608,3084,484,3059,4385,5301,31532
-1,17,2,1.35294,0,1,0,1,1,2891,,19798,88,404,0.166667,1618,7740,2,1,17,21666,21666,,88,,,0,10271,1454,1175,521,1326,2683,3992,220,1324,1872,1238,83,85,1545,1346,6961,8916,18945
-1,19,0,3.47368,,1,,3,,,,35091,,28,0.05,0,1174,,4,19,58879,45648,,,,,11,17224,45,17385,32396,10467,296,847,110865,7436,4087,144,6189,940,325,41,1395,4206,4399
-1,7,12,4.14286,5,8,5,5,2,94193,,25531,6521,502,1.625,580,612,1,3,7,43320,20642,,225,1090,14469.2,29,28670,70283,10338,74995,15583,20423,83503,4261,19822,35888,5968,30310,29733,31899,1381,210,66149,12943
-1,19,0,1.52632,,0,,1,,,,32321,,84725,0.05,0,899,,1,19,38576,47012,,,,,10957,3339,3018,48,32912,17284,7153,102740,49618,232,10224,1379,8648,27225,7288,2062,2320,22966,443
-1,16,3,1.1875,0,1,0,1,1,42151,,16450,291,2520,0.235294,2341,504,0,3,11,30196,9941,66,,741,,4,138489,23044,16330,9,14086,5915,2462,31,1449,5930,24485,30276,51731,37253,24534,51555,3652,31441
-1,2,17,3,0,-2,1,2,1,36021,,1146,477,13,6,356,1953,0,2,2,2590,1097,24.5,210.571,807,2440,17,81,4,1325,7,3,26,3,6,215,6,16,7,53,6,5,52,4328,2895
-1,2,17,1.5,2,1,3,0,1,572,,11335,1259,9,6,239,404,1,0,2,13267,9403,11,188,1032.4,2307.17,0,664940,138,60517,29,1343,32254,1004,4003,12847,5,3,118752,53077,21291,16168,1583,1120,54
-1,2,17,2,1,3,1,2,1,19,,51517,434,4,6,461,285,0,3,2,88881,87771,27.8333,231.25,773.667,1650,5838,30138,36,33,70,1140,8428,150,91,486,784,43,1642,88,1192,133,1107,10,61
-1,5,14,1.4,1,0,2,1,1,45,,6359,302,201,2.5,390,475,1,1,5,6521,6196,14.75,280,729,,1495,12798,11705,6880,2772,7169,28760,12970,7253,142620,320,17,1559,2436,4577,1232,157,121,1111
-1,1,18,1,1,0,1,0,2,9160,,450,1190,44396,9.5,737,1477,1,0,1,450,450,25,131,947.167,5132.67,0,41786,6,14,143,15,37,21,48,890,328,15,1087,2,6,61,949,18,3357
-1,2,17,1,2,0,2,0,2,2074,,6341,3879,41,6,532,1243,1,1,2,6341,6341,35,212.75,1346.33,7609.57,2966,6952,5705,15,11594,5857,308,29716,7428,1341,1440,1554,239121,2674,1675,9771,10124,8684,252
-1,0,19,,2,,2,,2,6736,,,9968,,20,832,0,1,,0,,,,,937,11773.7,14,19146,492,2893,106770,12,5034,17,1426,20,979,17,7,2685,2042,2387,15,17268,75936
-1,1,18,6,8,24,14,0,2,2616,,2706,7736,0,9.5,406,386,1,0,1,5595,3390,,158,1084.5,11216.8,1445,12,212,70,5703,0,42,1099,1902,5451,4188,30308,10000,10104,8858,1406,15748,13266,2
-1,9,10,1.33333,1,1,1,1,1,3005,,11807,845,11145,1.1,345,867,1,2,9,16937,6678,5.5,258.4,1272.5,4604,36,218998,20070,3152,2569,11,1493,5,254,1006,90,1546,59,7036,1981,881,2943,4114,11
-1,7,12,2,1,1,1,2,1,21948,,2858,4088,813,1.625,278,446,1,0,7,5567,2139,54,192,721,7125.8,8236,11467,10441,88912,1413,54566,1926,110,34,8,3048,8,10,854,2,11,1,188,91
-1,12,7,1.33333,1,0,1,1,1,4995,,45951,200,4982,0.615385,510,788,0,1,12,60471,58891,7,276.8,,,157096,74978,12753,7306,11386,28779,28444,5427,8,6585,1279,7547,10094,1093,1795,350,30,9,6663
-1,0,19,,4,,5,,2,15125,,,2848,,20,702,0,1,,0,,,18.5,274,716.333,7516.17,209800,13,29,6,14,162,57,75,99,17,127,818,27,21,71,19,394,191,118
-1,10,9,5.8,0,3,1,3,2,48740,,24971,3100,109,0.909091,1270,1075,0,1,10,78384,37578,16,144,854.5,6472.25,1886,1534,130073,33,5,35712,53450,20130,120,28516,104090,107852,38899,33513,28764,163627,6032,1391,31253
-1,15,4,1.2,0,0,0,1,1,428984,,5027,26,283,0.3125,566,662,1,1,13,5761,4725,26.3333,,,,331563,1439,35,21322,7075,11752,181717,74516,68781,17926,88769,50384,18697,34,6410,62764,47836,8804,3889
-1,1,18,3,3,3,4,0,2,34258,,38886,4573,35,9.5,642,1008,1,0,1,104208,104208,10,110,827.333,7467.71,127041,201032,4,62390,9,22,7,9790,35,62,57,42,737,2258,6672,1324,168,3,159
-1,18,1,2.27778,-1,2,0,2,1,18766,,15320,31,24,0.105263,199,2496,0,2,17,23660,17487,31,,,,60,3139,1391,2839,5939,5564,1292,1294,375,1031,303,4152,205,1067,391,1078,1707,1476,242
-1,2,17,2,1,3,1,1,1,97213,,17402,2033,71346,6,829,1156,2,2,2,51536,470,15.8,153.333,1202,7790.25,0,1396,18725,20,62856,89,243,5270,32,32497,49,8599,9854,642,63,3421,51,99478,11
-1,19,0,1.57895,,0,,1,,,,13097,,523,0.05,0,541,,1,16,26383,8576,,,,,2,54575,5821,38765,29,7095,35022,2878,8323,2922,305,1138,12957,20119,1647,5385,147,3289,9713
-1,0,19,,0,,1,,1,40728,,,681,,20,446,0,1,,0,,,19.6667,191,962.667,3042,326751,10275,104237,7,9,6865,10201,10,7,3843,1525,16215,6,4,5,14,6,24,992
-1,18,1,1.83333,1,1,0,1,2,1428,,24162,151,165,0.105263,76,1445,0,1,17,30232,12633,,151,,,7,19351,22651,543542,67548,21509,4605,2519,5647,93490,6019,41,39795,79065,39033,1428,421,6640,52655
-1,16,3,1.875,0,0,0,1,1,130192,,6984,355,2024,0.235294,453,986,0,1,15,11690,9778,,100,864,,16,8674,340,3996,1470,2701,170,11469,5826,1279,249,2616,4425,3194,9704,14,7206,9325,22394
-1,9,10,1.44444,1,1,1,1,1,278299,,4837,454,32334,1.1,483,1174,0,1,8,6109,2924,24.2,188,,1928.5,217404,129373,3380,16200,14193,2514,27119,20666,1596,8,179916,17352,29845,23550,7045,21504,80,8057,8
-1,3,16,1.66667,2,1,2,1,1,35740,,3495,779,44,4.25,801,612,1,1,3,4098,1841,41,208.333,745.4,2467.67,388780,308,359,170,2054,1399,17,30,12545,401,48952,22261,5093,3019,46642,2184,101676,21729,27768
-1,0,19,,2,,4,,2,9,,,3576,,20,676,0,0,,0,,,7,126,877.6,6251.78,24,47,4,11,20,5,6,12,7,18,6,23,14,10,141,50,48,1,14
-1,19,0,1.89474,,1,,1,,,,10691,,43068,0.05,0,382,,0,17,17888,20120,,,,,0,24663,68917,35861,22205,19820,76299,1600,1260,42036,4164,91267,19124,26482,9800,8635,2705,31557,4687
-1,1,18,1,1,0,1,0,2,245789,,6498,2904,4335,9.5,644,712,0,0,1,6498,6498,1,382,903.429,5678.71,15,4335,90462,14990,35693,14532,23392,23,2613,10383,5149,12,9,7,12,4,6,6,4
-1,1,18,1,7,2,11,0,2,229530,,2307,700,145395,9.5,2207,204,2,1,1,2307,2307,11,232.833,807.875,2016.5,17384,11685,14169,3,8558,10220,9,7,1500,38852,47524,4150,28684,4,7331,2911,8657,2605,6065
