#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16,gap17,gap18,gap19,gap20
-1,15,5,3.2,1,5,0,7,1,158375,,25878,3935,186,0.375,805,838,0,2,15,56106,31242,6,71,983.5,17632,70158,7696,114509,3257,3157,74924,3087,47932,17525,78940,23476,6787,46,3180,158,3961,15860,102118,46318,11553
-1,1,19,4,1,2,1,0,2,19789,,17140,1493,2,10,1039,1348,1,0,1,57024,7756,14.6667,229,869,4907,22,58,984,61,195,740,475,1009,336,905,229,1419,824,678,29,4,174,1170,634,1030
-1,7,13,1.57143,1,0,1,0,1,10820,,2521,2433,84288,1.75,1003,1299,0,0,7,3303,1797,11,99,996.6,7998,224584,618,1241,23198,5029,39093,7158,52251,7235,63474,18226,71,203741,251610,2403,1115,8,6046,31,1501
-1,0,20,,0,,1,,1,247885,,,977,,21,480,0,1,,0,,,24.5714,246.857,885,3349.4,5,29857,5,545,5,7,7,5,10,3,3,3,9,4,3,3,3,3,3,5
-1,0,20,,1,,2,,1,20,,,2893,,21,511,0,1,,0,,,21.1667,187.75,1232.5,8676,1884,33,10,172515,3,14,62,110,11,156,26,12,3,549,235,9,117,12,16,30
-1,20,0,1.05,,0,,0,,,,34294,,119,0.047619,0,1182,,2,14,36912,4715,,,,,6,179606,1767,2761,1900,1168,1349,1149,563,2307,5018,2815,47,7840,16038,3054,1746,1015,3061,1188
-1,3,17,3,1,3,1,1,1,102666,,9885,3145,1589,4.5,875,1356,1,1,3,31742,3472,17,277.667,923,8165.17,0,29,30,92,41,57,44,66,1401,21,840,2043,3782,10031,11621,57,11466,5705,1996,109
-1,10,10,4.4,0,5,1,6,1,21473,,11258,1963,4102,1,246,1474,2,1,10,28599,13525,1,167.333,831.5,4366.5,10,183463,30136,130624,61,18457,63390,2030,8,5901,11383,1254,102,7,102,5071,4,54099,654,3681
-1,1,19,0,1,2,2,0,1,53449,,,350,,10,1017,859,2,1,0,,,20.3333,322,862.667,,0,20,22990,1507,5878,9970,31983,12904,4030,11520,1556,17402,162635,316756,1334,279,20,2948,2491,170
-1,4,16,4.75,1,4,1,4,1,7051,,5617,6884,5955,3.4,439,1044,0,0,4,18226,3677,,201,1064.83,14930,1075,5,1847,98,7,22,1505,138280,6859,128,16,51,5960,2646,8688,10073,184287,2474,3,29337
-1,17,3,2.52941,0,2,0,2,1,80414,,28695,3549,14473,0.222222,763,714,0,1,17,72458,54625,,,,3549,0,14096,1214,6013,133793,37852,19641,16137,1219,2803,3155,303,4046,2990,7046,222,1109,230,6757,741
-1,20,0,2.2,,0,,1,,,,33744,,65,0.047619,0,1622,,1,20,57358,42974,,,,,17,158329,96113,68047,1490,921,308,226,974,1377,417,118,1322,131,715,20296,196,315,9308,108
-1,2,18,2,1,1,1,0,1,31843,,813,2992,7171,6.33333,172,173,1,1,2,1170,1080,21,192.5,946.8,8464.6,33,603,691,9,2321,225,1200,1116,2326,5790,1458,807,295,13282,9,8,1414,3806,7189,1218
-1,2,18,4,1,3,3,3,2,1978,,3819,8960,36,6.33333,316,891,1,1,2,10300,3664,67,86.5,654.5,13285.8,0,35,14,1002,7,388,4,1408,17,17,25,18,5809,1,4228,6840,44,292624,10,510917
-1,7,13,1.85714,1,0,1,1,2,510,,4703,307,3253,1.75,445,1296,1,1,6,9700,244,18.25,110,447,2695,8951,34698,1111,34461,10,16,1772,3,152660,18673,1205,1441,1249,12,299,169,6890,2827,6162,1338
-1,16,4,1.875,1,1,1,2,1,359922,,10890,563,26789,0.294118,383,1156,0,1,16,18989,16572,,316,645.667,,248309,11801,1131,3067,7383,45,1306,5752,1236,215,23011,1403,18644,148,8203,30668,7187,5438,20413,99637
-1,15,5,1.66667,3,2,2,2,1,399609,,36684,1816,668,0.375,489,621,0,2,13,47604,34091,,,739,3432.5,5935,2465,102395,5913,4190,8603,121244,63804,5009,79335,5506,76455,24766,107661,11915,9797,80660,27400,43404,120689
-1,2,18,1,1,3,2,2,1,183270,,32388,7136,1183,6.33333,379,2324,1,1,2,32388,32388,34.5,153,798.75,17773,516,79995,63,2226,1479,29484,28,16,5,1342,274,6,1118,1580,36,4,8,5,12,10
-1,9,11,1.33333,2,1,2,1,1,412,,7116,1031,38073,1.2,564,905,1,0,9,7273,7934,38,237.333,609.25,7088,0,9101,1072,91099,12787,1781,26964,70759,7322,30214,9777,13212,19,1223,117,1173,7118,141,10020,11530
-1,19,1,1.31579,0,1,0,2,1,379812,,3817,1,11382,0.1,275,3259,1,2,18,6925,8443,1,,,,12225,573,9855,176,3171,123,5539,1348,1704,724,1716,4429,972,248,2141,86,971,15644,101,1292
-1,4,16,4.5,3,3,3,4,3,1177,,1967,3149,14703,3.4,555,472,1,0,4,14247,1125,16,305,927,5590,4341,39,4,281496,1744,476,39,1924,954,9324,1992,5200,149,1234,161,270,2,12,1129,45113
-1,16,4,1.5,0,1,0,1,2,3205,,11047,68,23510,0.294118,2476,1926,0,1,16,14909,2991,,68,,,34466,287873,177374,35623,1687,19933,53328,1143,7189,2,48073,870,665,1204,126858,41201,20697,2470,133773,41178
-1,1,19,3,1,-1,2,0,1,16,,4751,342,2,10,184,475,2,2,1,13508,13508,16.8182,234.4,744,2202,0,8,16,11,7,23,7,43,10,58,1128,191,1413,80,46,20,4,2869,10,4242
-1,19,1,2.47368,1,3,0,5,1,1451,,12822,328,2797,0.1,215,528,1,0,19,25565,17753,,328,,,0,43,14282,32919,3205,20959,10094,15824,64901,13397,44129,236,1451,80995,8045,6256,122030,1355,10236,9798
-1,18,2,3.66667,0,2,0,1,1,38,,16205,44,10527,0.157895,348,397,1,2,18,39754,25472,5,83,,,69185,8580,1692,9961,1584,38545,1703,18756,1579,8581,11163,1629,4096,150,232,9700,553,3846,5635,48
-1,12,8,2.33333,4,1,4,2,3,163816,,25468,1701,69718,0.692308,649,962,1,1,11,45958,32643,,355,807.333,3042.33,42,1277,10201,17,24522,46,16012,26033,37221,7082,103565,147070,52088,50063,307,414336,1953,27728,102847,61789
-1,16,4,2.3125,1,2,1,1,1,1035,,20394,141,256,0.294118,227,762,0,3,16,31254,23436,28,178,,,89679,135378,5107,304,1486,3936,171,161,1362,434,12,2334,9922,359,1312,14835,45372,120155,96338,169
-1,2,18,1,1,1,1,0,1,31524,,13822,1139,9,6.33333,502,504,1,0,2,13822,23907,26.4,198.8,1065.67,3236.2,190380,322484,29406,6,35,600,413,6,1031,20332,8949,41752,8,3956,16,4377,7,7,34705,71676
-1,20,0,2.35,,1,,1,,,,16912,,39,0.047619,0,484,,3,20,34512,28173,,,,,2,5833,8062,75156,6571,52914,17570,12258,31186,28109,90974,81683,4975,5009,712,8363,12430,3307,1470,4150
-1,19,1,1.57895,2,1,0,1,2,8075,,35311,779,76,0.1,166,893,1,1,19,39452,34800,,,779,,9,486,935,69,7512,8427,530,942,1579,9002,3737,8684,595,54665,2760,12458,58,3322,12618,7360
-1,0,20,,1,,1,,1,10,,,530,,21,677,0,1,,0,,,14.2222,272.667,1070.86,2164,26836,8926,58,51,3,15,5,4,1166,13,1123,10,47,417,43,18,10,43,28,30
